uid,status,inspire_id,titulo_inspire,primeiro_autor,n_autores,ano_inspire,data_inspire,arxiv,doi,journal,citacoes,citacoes_sem_auto,tipo_doc,query_usada,obs
U0943,OK,1217902,"0νββ and 2νββ nuclear matrix elements, quasiparticle random-phase approximation, and isospin symmetry restoration","Šimkovic, F.",4,2013,2013-02-06,,,"Phys.Rev.C 87, 045501",369,321,article,"j+Phys.Rev.C,87,045501",
U0944,OK,1224287,"Lepton Flavor and Number Conservation, and Physics Beyond the Standard Model","de Gouvea, A.",2,2013,2013-03-17,1303.4097,,"Prog.Part.Nucl.Phys. 71, 75-92",256,243,article,arxiv:1303.4097,
U0945,OK,1301256,Effects of three-nucleon forces and two-body currents on Gamow-Teller strengths,"Ekström, A.",8,2014,2014-06-18,,,"Phys.Rev.Lett. 113, 262504",85,73,article,"j+Phys.Rev.Lett.,113,262504",
U0946,OK,1275954,Correlations and neutrinoless ββ decay nuclear matrix elements of pf-shell nuclei,"Menéndez, J.",4,2014,2014-01-03,,,"Phys.Rev.C 90, 024311",41,28,article,"j+Phys.Rev.C,90,024311",
U0947,OK,1380604,Neutrinoless Double Beta Decay,"Päs, H.",2,2015,2015-07-01,1507.00170,,"New J.Phys. 17, 115010",153,145,article,arxiv:1507.00170,
U0948,OK,1471543,Testable Baryogenesis in Seesaw Models,"Hernández, P.",5,2016,2016-06-21,1606.06719,,"JHEP 08, 157",164,144,article,arxiv:1606.06719,
U0949,OK,1407146,Sensitivity of NEXT-100 to Neutrinoless Double Beta Decay,"Martín-Albo, J.",,2015,2015-11-30,1511.09246,,"JHEP 05, 159",174,97,article,arxiv:1511.09246,earliest_date 2015 (preprint) vs ano citado 2016; diferenca de 1 ano dentro da tolerancia; arXiv/titulo conferem exatamente. Raw diz 'et al. (NEXT)' -> n_autores em branco.
U0950,OK,1400604,Testing the importance of collective correlations in neutrinoless ββ decay,"Menéndez, J.",5,2015,2015-10-23,,,"Phys.Rev.C 93, 014305",49,27,article,"j+Phys.Rev.C,93,014305",earliest_date 2015 (preprint) vs publicacao citada 2016; coordenada de journal bate exatamente -> OK conforme regra de preprints.
U0951,OK,1415616,Unified ab initio approaches to nuclear structure and reactions,"Navrátil, P.",5,2016,2016-01-14,,,"Phys.Scr. 91, 053002",238,200,article,"j+Phys.Scripta,91,053002",Abreviatura INSPIRE para 'Phys. Scripta' e 'Phys.Scr.'.
U0952,NAO_ENCONTRADO,,,"Klein, J.",,,,,,,,,,n/a,"Comunicacao pessoal (Klein, J., 2017), nao e publicacao — nao existe registro no INSPIRE-HEP para casar. Nenhuma busca foi tentada, conforme instrucao do bloco."
U0953,OK,1617808,Neutron-proton pairing and double-beta decay in the interacting boson model,"Van Isacker, P.",3,2017,2017-08-19,,,"Phys.Rev.C 96, 064305",18,14,article,"j+Phys.Rev.C,96,064305",
U0954,OK,1675260,nEXO Pre-Conceptual Design Report,"Al Kharusi, S.",,2018,2018-05-28,1805.11142,,,154,75,report,arxiv:1805.11142,Raw diz 'et al. (nEXO)' -> n_autores em branco.
U0955,OK,1617809,Gamow-Teller and double-β decays of heavy nuclei within an effective theory,"Coello Pérez, E.A.",3,2017,2017-08-21,,,"Phys.Rev.C 98, 045501",25,18,article,"j+Phys.Rev.C,98,045501",earliest_date 2017 (preprint) vs publicacao citada 2018; dentro da tolerancia; coordenada de journal exata.
U0956,NAO_ENCONTRADO,,,"De Bianchi, S.",1,,,,,"Stud.Hist.Phil.Sci.B 61, 68-79",,,article,t+Rethinking+antiparticles+Weyl,"Busca por titulo devolveu TOTAL=0. Artigo de historia/filosofia da fisica (Stud. Hist. Phil. Sci. B), provavelmente fora da cobertura do INSPIRE-HEP. Uma unica tentativa feita, conforme instrucao do bloco."
U0957,OK,1666363,Neutrinoless ββ decay mediated by the exchange of light and heavy neutrinos: The role of nuclear structure correlations,"Menéndez, J.",1,2017,2017-12-13,,,"J.Phys.G 45, 014003",124,107,article,"j+J.Phys.G,45,014003",earliest_date 2017 (preprint) vs publicacao citada 2018; dentro da tolerancia; coordenada de journal exata.
U0958,OK,1662568,Improved description of the 2νββ-decay and a possibility to determine the effective axial-vector coupling constant,"Šimkovic, F.",4,2018,2018-03-13,,,"Phys.Rev.C 97, 034315",82,62,article,"j+Phys.Rev.C,97,034315",
U0959,OK,1687436,"0νββ nuclear matrix elements, neutrino potentials and SU(4) symmetry","Šimkovic, F.",3,2018,2018-08-15,,,"Phys.Rev.C 98, 064325",90,78,article,"j+Phys.Rev.C,98,064325",
U0960,OK,1693639,Two-neutrino double electron capture on 124Xe based on an effective theory and the nuclear shell model,"Coello Pérez, E.A.",3,2018,2018-09-12,,,"Phys.Lett.B 797, 134885",35,25,article,"j+Phys.Lett.B,797,134885",earliest_date 2018 (preprint) vs publicacao citada 2019; dentro da tolerancia; coordenada de journal exata.
U0961,OK,1627851,Probing the missing baryons with the Sunyaev-Zel'dovich effect from filaments,"de Graaff, A.",4,2017,2017-09-29,1709.10378,,"Astron.Astrophys. 624, A48",196,190,article,arxiv:1709.10378,"earliest_date 2017 (preprint) vs publicacao citada 2019 (2 anos de diferenca); identificacao por arXiv ID e titulo e exata (identificador unico), OK apesar do intervalo maior que 1 ano."
U0962,OK,1778338,Measurement of the Spectral Shape of the β-Decay of 137Xe to the Ground State of 137Cs in EXO-200 and Comparison with Theory,"Al Kharusi, S.",,2020,2020-01-31,2002.00108,,"Phys.Rev.Lett. 124, 232502",11,8,article,arxiv:2002.00108,Raw diz 'et al. (EXO-200)' -> n_autores em branco. arXiv 2002.00108 estava no texto bruto apesar do metodo listado como 'titulo'; usado por ser identificador mais confiavel (regra 1 da cadeia).
