uid,status,inspire_id,titulo_inspire,primeiro_autor,n_autores,ano_inspire,data_inspire,arxiv,doi,journal,citacoes,citacoes_sem_auto,tipo_doc,query_usada,obs
U0421,OK,2065202,The W boson mass weighs in on the non-standard Higgs,"Cacciapaglia, Giacomo",2,2022,2022-04-09,2204.04514,,"Phys.Lett.B 832, 137232",68,66,article,arxiv:2204.04514,"primeiro_autor/n_autores/journal/tipo_doc do texto bruto (2 autores nomeados: Cacciapaglia, Sannino), nao da API; ancoras: ano bate exatamente e titulo identico."
U0422,OK,2105283,Towards precise and accurate calculations of neutrinoless double-beta decay,"Cirigliano, V",,2022,2022-07-03,2207.01085,,,49,32,preprint,arxiv:2207.01085,"primeiro_autor/tipo_doc do raw, nao da API; raw da 'et al.' -> n_autores em branco; raw sem journal (relatorio de workshop); ancoras: ano bate exatamente e titulo praticamente identico."
U0423,OK,2053582,Low-scale leptogenesis with flavour and CP symmetries,"Drewes, Marco",4,2022,2022-03-16,2203.08538,,,30,21,preprint,arxiv:2203.08538,"primeiro_autor/n_autores/tipo_doc do raw (4 autores nomeados: Drewes, Georis, Hagedorn, Klaric), nao da API; raw sem journal; ancoras: ano bate exatamente e titulo identico."
U0424,OK,1873435,Mapping the Viable Parameter Space for Testable Leptogenesis,"Drewes, Marco",3,2022,2021-06-30,2106.16226,,"Phys.Rev.Lett. 128, 051801",94,69,article,arxiv:2106.16226,"primeiro_autor/n_autores/journal/tipo_doc do raw (3 autores nomeados), nao da API; earliest_date do preprint (2021) e 1 ano anterior ao ano da referencia (2022, publicacao PRL), dentro da tolerancia; titulo identico."
U0425,OK,2064812,"Standard model anomalies: lepton flavour non-universality, g − 2 and W-mass","D’Alise, Alessandra",,2022,2022-04-07,2204.03686,,,23,19,preprint,arxiv:2204.03686,"primeiro_autor/tipo_doc do raw, nao da API; raw da 'et al.' -> n_autores em branco; raw sem journal; ancoras: ano bate exatamente e titulo identico (salvo pontuacao)."
U0426,OK,2139843,Discovering neutrinoless double-beta decay in the era of precision neutrino cosmology,"Ettengruber, Manuel",5,2022,2022-08-21,2208.09954,,,9,5,preprint,arxiv:2208.09954,"primeiro_autor/n_autores/tipo_doc do raw (5 autores nomeados: Ettengruber, Agostini, Caldwell, Eller, Schulz), nao da API; raw sem journal; ancoras: ano bate exatamente e titulo identico. Citacao baixa esperada (preprint recente)."
U0427,OK,2026263,Uncovering a chirally suppressed mechanism of 0νββ decay with LHC searches,"Graesser, Michael L",5,2022,2022-02-02,2202.01237,,,17,12,preprint,arxiv:2202.01237,"primeiro_autor/n_autores/tipo_doc do raw (5 autores nomeados), nao da API; raw sem journal; ancoras: ano bate exatamente e titulo identico."
U0428,OK,2012835,"Angular-momentum projection in coupled-cluster theory: Structure of $^{34}$Mg","Hagen, G",8,2022,2022-01-18,2201.07298,,,92,46,preprint,arxiv:2201.07298,"primeiro_autor/n_autores/tipo_doc do raw (8 autores nomeados), nao da API; raw sem journal; ancoras: ano bate exatamente e titulo identico (34Mg)."
U0429,OK,2055593,Statistical analysis for the neutrinoless double-β-decay matrix element of ⁴⁸Ca,"Horoi, M",3,2022,2022-03-20,2203.10577,,,34,26,preprint,arxiv:2203.10577,"primeiro_autor/n_autores/tipo_doc do raw (3 autores nomeados: Horoi, Neacsu, Stoica), nao da API; raw sem journal; ancoras: ano bate exatamente e titulo essencialmente identico (48Ca)."
U0430,OK,2110818,Neutrinoless ββ-decay nuclear matrix elements from two-neutrino ββ-decay data,"Jokiniemi, Lotta",4,2022,2022-07-11,2207.05108,,,52,34,preprint,arxiv:2207.05108,"primeiro_autor/n_autores/tipo_doc do raw (4 autores nomeados), nao da API; raw sem journal; ancoras: ano bate exatamente e titulo identico."
