uid,status,inspire_id,titulo_inspire,primeiro_autor,n_autores,ano_inspire,data_inspire,arxiv,doi,journal,citacoes,citacoes_sem_auto,tipo_doc,query_usada,obs
U0181,OK,1295523,Challenges in Double Beta Decay,"Cremonesi, O.",2,2013,2013-10-17,1310.4692,10.1155/2014/951432,"Adv.High Energy Phys.,2014,951432",171,146,review,arxiv:1310.4692,"Ano earliest_date=2013 vs ano da referencia 2014 (diferenca de 1, dentro da tolerancia); autor Cremonesi confere."
U0182,OK,1256095,"Charged current neutrino cross section for solar neutrinos, and background to ββ(0ν) experiments","Ejiri, H.",2,2013,2013-09-30,1309.7957,10.1103/PhysRevC.89.055501,"Phys.Rev.C,89,055501",42,31,article,arxiv:1309.7957,"Ano earliest_date=2013 vs ano da referencia 2014 (diferenca de 1, dentro da tolerancia); autor e journal conferem."
U0183,OK,1290205,DESI and other dark energy experiments in the era of neutrino mass measurements,"Font-Ribera, A.",6,2014,2014,1308.4164,,"JCAP,05,023",384,335,article,arxiv:1308.4164,Titulo e DOI nao recuperados via API (JSON truncado pelo WebFetch em multiplas tentativas); titulo preenchido a partir da referencia bruta. Ano (2014) e autor (Font-Ribera) conferem.
U0184,OK,1291947,Measurement of Charged Pion Production Yields off the NuMI Target,"Paley, J.M.",56,2014,2014-04-23,1404.5882,10.1103/PhysRevD.90.032001,"Phys.Rev.D,90,032001",71,52,article,arxiv:1404.5882,"author_count variou entre tentativas (56/59/73) por truncamento do JSON no WebFetch; demais campos (titulo, doi, journal, citacoes) confirmados de forma consistente em mais de uma consulta. Ano e autor conferem."
U0185,OK,1249607,New determination of double-β-decay properties in 48Ca: High-precision Qββ-value measurement and improved nuclear matrix element calculations,"Kwiatkowski, A.A.",19,2013,2013-08-17,1308.3815,10.1103/PhysRevC.89.045502,"Phys.Rev.C,89,045502",57,41,article,arxiv:1308.3815,"Ano earliest_date=2013 vs ano da referencia 2014 (diferenca de 1, dentro da tolerancia); autor e journal conferem."
U0186,OK,1254860,The Electron Capture $^{163}$Ho Experiment ECHo: an overview,"Gastaldo, L.",18,2013,2013-09-20,1309.5214,10.1007/s10909-014-1187-4,"J.Low Temp.Phys.,176,876",127,102,conference paper,arxiv:1309.5214,"Titulo INSPIRE difere do texto bruto (que so cita journal/autor), mas o DOI Springer (10.1007/s10909-...) confirma o Journal of Low Temperature Physics, e ano (2013, dentro da tolerancia de 1 ano) e autor (Gastaldo) conferem."
U0187,OK,1322577,Extending the Standard Model Effective Field Theory with the Complete Set of Dimension-7 Operators,"Lehman, Landon",1,2014,2014-10-15,1410.4193,10.1103/PhysRevD.90.125023,"Phys.Rev.D,90,125023",313,311,article,arxiv:1410.4193,
U0188,OK,1318331,Updated fit to three neutrino mixing: status of leptonic CP violation,"Gonzalez-Garcia, M.C.",3,2014,2014-09-18,1409.5439,10.1007/JHEP11(2014)052,"JHEP,11,052",699,678,article,arxiv:1409.5439,"Autor, journal, doi e ano batem exatamente com a referencia bruta (Gonzalez-Garcia, Maltoni, Schwetz, JHEP 11 052 2014)."
U0189,OK,1278235,NA61/SHINE facility at the CERN SPS: beams and detector system,"Abgrall, N.",195,2014,2014-01-21,1401.4699,10.1088/1748-0221/9/06/P06005,"JINST,9,P06005",409,229,article,arxiv:1401.4699,"Titulo INSPIRE (facility paper) difere do texto bruto, que so cita journal/autor, mas DOI e journal (JINST 9, P06005) batem exatamente; ano e autor (Abgrall, NA61) conferem. author_count obtido em uma unica leitura (JSON grande, sujeito a truncamento no WebFetch)."
U0190,OK,1283612,Combined Analysis of nu_mu Disappearance and nu_mu -> nu_e Appearance in MINOS Using Accelerator and Atmospheric Neutrinos,"Adamson, P.",113,2014,2014-03-04,1403.0867,10.1103/PhysRevLett.112.191801,"Phys.Rev.Lett.,112,191801",434,351,article,arxiv:1403.0867,"DOI e journal batem exatamente com a referencia bruta (P. Adamson et al. (MINOS), Phys.Rev.Lett. 112, 191801, 2014); ano e autor conferem."
U0191,OK,1307770,,"Antusch, Stefan",2,2014,2014-07-24,1407.6607,,"JHEP,10,094",317,295,,arxiv:1407.6607,"Titulo, DOI e tipo_doc nao recuperados via API mesmo apos varias tentativas (JSON truncado repetidamente pelo WebFetch). author_count=2 confirma exatamente os dois autores da referencia bruta (Antusch e Fischer), e earliest_date=2014 bate com o ano da referencia; validacao por autor+ano se mantem (duas ancoras)."
U0192,OK,1304497,An apparatus to manipulate and identify individual Ba ions from bulk liquid Xe,"Twelker, K.",80,2014,2014-07-02,1407.0618,10.1063/1.4895646,"Rev.Sci.Instrum.,85,095114",25,5,article,arxiv:1407.0618,
