uid,status,inspire_id,titulo_inspire,primeiro_autor,n_autores,ano_inspire,data_inspire,arxiv,doi,journal,citacoes,citacoes_sem_auto,tipo_doc,query_usada,obs
U0281,OK,1644826,A Review and Outlook for the Removal of Radon-Generated Po-210 Surface Contamination,"Guiseppe, V.E.",4,2017,2017-12-21,1712.08167,,"AIP Conf.Proc.,1921,070003",9,9,conference paper,arxiv:1712.08167,"primeiro_autor/n_autores/journal/tipo_doc do texto bruto (PDF), nao da API (autores omitidos da consulta por protocolo). earliest_date 2017 vs ano da ref 2018 (preprint vs publicacao em AIP Conf.Proc.), dentro da tolerancia; titulo bate exatamente."
U0282,OK,1665534,The first ever search for neutrinoless quadruple beta decay,"Guzowski, P.",1,2018,2018-04-01,1804.00280,,,2,2,conference paper,arxiv:1804.00280,"primeiro_autor/n_autores/tipo_doc do texto bruto (PDF); referencia bruta e capitulo do livro ""Prospects in Neutrino Physics"", sem journal formal (deixado em branco). Titulo bate exatamente com a API; ano 2018 confere."
U0283,OK,1667194,Search for sterile neutrinos at the DANSS experiment,"Alekseev, I.",,2018,2018-04-11,1804.04046,,"Phys.Lett.,B787,56",284,251,article,arxiv:1804.04046,"primeiro_autor/n_autores(et al.)/journal/tipo_doc do texto bruto (PDF), nao da API (autores omitidos da consulta por protocolo). Titulo da API e sobre busca de neutrinos estereis no experimento DANSS, consistente com a referencia; coordenada de journal (Phys.Lett. B787,56) e arXiv id conferem exatamente; ano 2018 confere."
U0284,OK,1685172,Initial results on energy resolution of the NEXT-White detector,"Renner, J.",,2018,2018-08-06,1808.01804,,"JINST,13,P10020",30,7,article,arxiv:1808.01804,"primeiro_autor/n_autores(et al.)/journal/tipo_doc do texto bruto (PDF), nao da API. Titulo da API e do experimento NEXT-White, consistente com a colaboracao NEXT citada; journal JINST confere; ano 2018 confere."
U0285,OK,1672899,Hyper-Kamiokande Design Report,"Abe, K.",,2018,2018-05-09,1805.04163,,,1494,1149,report,arxiv:1805.04163,"primeiro_autor/n_autores(et al.)/tipo_doc do texto bruto (PDF); referencia bruta nao cita journal (apenas ano 2018). Titulo da API ""Hyper-Kamiokande Design Report"" bate exatamente; ano confere."
U0286,OK,1632446,Atmospheric neutrino oscillation analysis with external constraints in Super-Kamiokande I-IV,"Abe, K.",,2017,2017-10-25,1710.09126,,"Phys.Rev.,D97,072001",397,311,article,arxiv:1710.09126,"primeiro_autor/n_autores(et al.)/journal/tipo_doc do texto bruto (PDF), nao da API. earliest_date 2017 vs ano da ref 2018 (preprint vs publicacao), dentro da tolerancia; journal e colaboracao Super-Kamiokande conferem."
U0287,OK,1644084,Status of neutrino properties and future prospects - Cosmological and astrophysical constraints,"Lattanzi, M.",2,2017,2017-12-19,1712.07109,,"Front.in Phys.,5,70",206,193,article,arxiv:1712.07109,"primeiro_autor/n_autores/journal/tipo_doc do texto bruto (PDF), nao da API. earliest_date 2017 vs ano da ref 2018 (preprint vs publicacao), dentro da tolerancia; titulo bate exatamente."
U0288,OK,1696419,Characterization of the shape-staggering effect in mercury nuclei,"Marsh, B.A.",,2018,2018-10-01,,,"Nature Phys.,14,1163",141,87,article,"j+Nature.Phys.,14,1163","ATENCAO: identificador corrigido conforme nota do bloco B15 -- esta referencia NAO tem arXiv (o arXiv 1711.04782 listado antes pertencia a referencia seguinte, U0289). Como nao ha arXiv/DOI, a busca foi feita por journal (Nature Phys.,14,1163), conforme prioridade do protocolo. Titulo bate exatamente ""Characterization of the shape-staggering effect in mercury nuclei""; earliest_date 2018 confere com o ano da referencia. primeiro_autor/n_autores(et al.)/journal/tipo_doc do texto bruto (PDF)."
U0289,OK,1636186,Demonstration of Single Barium Ion Sensitivity for Neutrinoless Double Beta Decay using Single Molecule Fluorescence Imaging,"McDonald, A.D.",,2017,2017-11-13,1711.04782,,"Phys.Rev.Lett.,120,132504",73,23,article,arxiv:1711.04782,"primeiro_autor/n_autores(et al.)/journal/tipo_doc do texto bruto (PDF), nao da API. earliest_date 2017 vs ano da ref 2018 (preprint vs publicacao), dentro da tolerancia; titulo bate exatamente."
U0290,OK,1666884,The Next White (NEW) Detector,"Monrabal, F.",,2018,2018-04-06,1804.02409,,"JINST,13,P12010",74,13,article,arxiv:1804.02409,"primeiro_autor/n_autores(et al.)/journal/tipo_doc do texto bruto (PDF), nao da API. Titulo bate exatamente; ano 2018 confere."
U0291,OK,1648151,Neutrinoless Double Beta Decay with 82SeF6 and Direct Ion Imaging,"Nygren, D.R.",6,2018,2018-01-14,1801.04513,,"JINST,13,P03015",24,20,article,arxiv:1801.04513,"primeiro_autor/n_autores/journal/tipo_doc do texto bruto (PDF), nao da API. Titulo bate exatamente (LaTeX do isotopo removido); ano 2018 confere."
U0292,OK,1638990,Measurement of the tau neutrino cross section in atmospheric neutrino oscillations with Super-Kamiokande,"Li, Z.",,2017,2017-11-26,1711.09436,,"Phys.Rev.,D98,052006",130,95,article,arxiv:1711.09436,"primeiro_autor/n_autores(et al.)/journal/tipo_doc do texto bruto (PDF), nao da API. earliest_date 2017 vs ano da ref 2018 (preprint vs publicacao), dentro da tolerancia; journal e colaboracao Super-Kamiokande conferem."
U0293,OK,1710363,Measuring the atmospheric neutrino oscillation parameters and constraining the 3+1 neutrino model with ten years of ANTARES data,"Albert, A.",,2018,2018-12-20,1812.08650,,"JHEP,06,113",94,66,article,arxiv:1812.08650,"primeiro_autor/n_autores(et al.)/journal/tipo_doc do texto bruto (PDF), nao da API. earliest_date 2018-12 vs ano da ref 2019 (preprint vs publicacao JHEP), dentro da tolerancia de 1 ano; journal JHEP,06,113 e colaboracao ANTARES conferem."
