uid,status,inspire_id,titulo_inspire,primeiro_autor,n_autores,ano_inspire,data_inspire,arxiv,doi,journal,citacoes,citacoes_sem_auto,tipo_doc,query_usada,obs
U0041,OK,553254,Expected properties of massive neutrinos for mass matrices with a dominant block and random coefficients order unity,Vissani,1,2001,2001-02,hep-ph/0102236,10.1016/S0370-2693(01)00485-3,"Phys. Lett. B508, 79",61,45,,arxiv:hep-ph/0102236,
U0042,OK,556472,Neutrino mass spectrum and future beta decay experiments,Farzan,3,2001,2001-05,hep-ph/0105105,10.1016/S0550-3213(01)00361-3,"Nucl. Phys. B612, 59",111,104,,arxiv:hep-ph/0105105,"Titulo do INSPIRE nao constava no texto bruto (so journal); confirmado por journal/DOI (Nucl.Phys.B612,59) e autor Farzan"
U0043,OK,557202,COBRA: Double beta decay searches using CdTe detectors,Zuber,1,2001,2001-05,nucl-ex/0105018,10.1016/S0370-2693(01)01056-5,"Phys. Lett. B519, 1",186,143,,arxiv:nucl-ex/0105018,
U0044,OK,582689,Comment on 'Evidence for Neutrinoless Double Beta Decay',Aalseth,26,2002,2002-02,hep-ex/0202018,10.1142/S0217732302007715,"Mod. Phys. Lett. A17, 1475",299,262,,arxiv:hep-ex/0202018,
U0045,OK,584020,Upper limits for neutrino oscillations muon-anti-neutrino ---> electron-anti-neutrino from muon decay at rest,Armbruster,24,2002,2002-03,hep-ex/0203021,10.1103/PhysRevD.65.112001,"Phys. Rev. D65, 112001",680,668,,arxiv:hep-ex/0203021,
U0046,OK,590551,Operator analysis of neutrinoless double beta decay,Choi,3,2002,2002-07,hep-ph/0207180,10.1103/PhysRevD.66.093007,"Phys. Rev. D66, 093007",32,32,,arxiv:hep-ph/0207180,
U0047,OK,582918,Neutrinos in cosmology,Dolgov,1,2002,2002-02,hep-ph/0202122,10.1016/S0370-1573(02)00139-4,"Phys. Rept. 370, 333",700,670,,arxiv:hep-ph/0202122,
U0048,OK,582376,Neutrino oscillations and signals in beta and 0nu2beta experiments,Feruglio,3,2002,2002-01,hep-ph/0201291,10.1016/S0550-3213(02)00345-0,"Nucl. Phys. B637, 345",366,339,,arxiv:hep-ph/0201291,
U0049,OK,585363,Solar neutrino flux measurements by the Soviet-American Gallium Experiment (SAGE) for half the 22 year solar cycle,Abdurashitov,21,2002,2002-04,astro-ph/0204245,10.1134/1.1506424,"J. Exp. Theor. Phys. 95, 181",846,819,,arxiv:astro-ph/0204245,
U0050,OK,561929,How far can the SO(10) two Higgs model describe the observed neutrino masses and mixings?,Matsuda,4,2001,2001-08,hep-ph/0108202,10.1103/PhysRevD.65.033008,"Phys. Rev. D65, 033008",142,106,,arxiv:hep-ph/0108202,"Preprint ago/2001, publicado 2002; dentro da tolerancia de 1 ano"
U0051,OK,585723,Direct evidence for neutrino flavor transformation from neutral current interactions in the Sudbury Neutrino Observatory,Ahmad,178,2002,2002-04,nucl-ex/0204008,10.1103/PhysRevLett.89.011301,"Phys. Rev. Lett. 89, 011301",5290,4955,,arxiv:nucl-ex/0204008,
U0052,OK,587157,Determination of solar neutrino oscillation parameters using 1496 days of Super-Kamiokande I data,Fukuda,121,2002,2002-05,hep-ex/0205075,10.1016/S0370-2693(02)02090-7,"Phys. Lett. B539, 179",1175,1079,,arxiv:hep-ex/0205075,
U0053,OK,581696,Leptonic unitarity triangle and CP violation,Farzan,2,2002,2002-01,hep-ph/0201105,10.1103/PhysRevD.65.113001,"Phys. Rev. D65, 113001",118,109,,arxiv:hep-ph/0201105,
U0054,OK,614783,Correlated fluctuations between luminescence and ionization in liquid xenon,Conti,22,2003,2003-03,hep-ex/0303008,10.1103/PhysRevB.68.054201,"Phys. Rev. B68, 054201",200,128,,arxiv:hep-ex/0303008,
U0055,OK,2732436,A broadband superconducting detector suitable for use in large arrays,P. K. Day,5,2003,2003-10,,,"Nature 425, 817",547,495,article,t+broadband+superconducting+detector+suitable+for+use+in+large+arrays,corrigido pelo Opus: a entrada estava fundida no parser e o arXiv nucl-ex/9706005 pertencia a referencia seguinte; identidade correta confirmada por titulo+ano
U0056,OK,604286,First results from KamLAND: Evidence for reactor anti-neutrino disappearance,Eguchi,98,2002,2002-12,hep-ex/0212021,10.1103/PhysRevLett.90.021802,"Phys. Rev. Lett. 90, 021802",3848,3527,,arxiv:hep-ex/0212021,"Preprint dez/2002, publicado 2003; dentro da tolerancia de 1 ano"
U0057,OK,589707,The FLUKA atmospheric neutrino flux calculation,Battistoni,4,2002,2002-07,hep-ph/0207035,10.1016/S0927-6505(02)00246-3,"Astropart. Phys. 19, 269",248,232,,arxiv:hep-ph/0207035,"Preprint jul/2002, publicado 2003; dentro da tolerancia de 1 ano"
U0058,OK,618789,"Atmospheric neutrino oscillations, theta(13) and neutrino mass hierarchy",Bernabeu,3,2003,2003-05,hep-ph/0305152,10.1016/j.nuclphysb.2003.07.025,"Nucl. Phys. B669, 255",114,73,,arxiv:hep-ph/0305152,
U0059,OK,582695,Neutrino Masses and Mixing: Evidence and Implications,Gonzalez-Garcia,2,2002,2002-02,hep-ph/0202058,10.1103/RevModPhys.75.345,"Rev. Mod. Phys. 75, 345",599,573,,arxiv:hep-ph/0202058,"Preprint fev/2002, publicado 2003; dentro da tolerancia de 1 ano"
U0060,OK,624212,Measurement of the L/E distributions of atmospheric neutrinos in Soudan 2 and their interpretation as neutrino oscillations,Sanchez,33,2003,2003-07,hep-ex/0307069,10.1103/PhysRevD.68.113004,"Phys. Rev. D68, 113004",368,349,,arxiv:hep-ex/0307069,
