uid,status,inspire_id,titulo_inspire,primeiro_autor,n_autores,ano_inspire,data_inspire,arxiv,doi,journal,citacoes,citacoes_sem_auto,tipo_doc,query_usada,obs
U0141,OK,1083030,Q-Value and Half-Lives for the Double-Beta-Decay Nuclide 110Pd,"Fink, D.",20,2011,2011-12,1112.5786,10.1103/PhysRevLett.108.062502,"Phys.Rev.Lett.,108,062502",40,17,article,arxiv:1112.5786,"Autor/journal/tipo_doc confirmados via segunda consulta INSPIRE (fields=authors,publication_info,document_type)."
U0142,OK,1236362,From eV to EeV: Neutrino Cross Sections Across Energy Scales,"Formaggio, J.A.",2,2012,2012-09-24,1305.7513,10.1103/RevModPhys.84.1307,"Rev.Mod.Phys.,84,1307",1079,1052,article,arxiv:1305.7513,"Autor/journal/tipo_doc confirmados via segunda consulta INSPIRE (fields=authors,publication_info,document_type)."
U0143,OK,940013,First evidence of pep solar neutrinos by direct detection in Borexino,"Bellini, G.",91,2011,2011-10,1110.3230,10.1103/PhysRevLett.108.051302,"Phys.Rev.Lett.,108,051302",364,195,article,arxiv:1110.3230,"Autor/journal/tipo_doc confirmados via segunda consulta INSPIRE (fields=authors,publication_info,document_type). Titulo INSPIRE difere do texto bruto (que so cita autor/journal, sem titulo) mas DOI e journal batem exatamente com a citacao (Phys.Rev.Lett. 108, 051302)."
U0144,OK,1085532,Measurement of the double-beta decay half-life of 136Xe with the KamLAND-Zen experiment,"Gando, A.",39,2012,2012-04,1201.4664,10.1103/PhysRevC.85.045504,"Phys.Rev.C,85,045504",316,276,article,arxiv:1201.4664,"Autor/journal/tipo_doc confirmados via segunda consulta INSPIRE (fields=authors,publication_info,document_type)."
U0145,OK,929460,The Search for neutrinoless double beta decay,"Gomez-Cadenas, J.J.",5,2011,2011-09,1109.5515,10.1393/ncr/i2012-10074-9,"Riv.Nuovo Cim.,35,29-98",251,214,review,arxiv:1109.5515,"Autor/journal/tipo_doc confirmados via segunda consulta INSPIRE (fields=authors,publication_info,document_type)."
U0146,OK,1102875,Observation of Reactor Electron Antineutrino Disappearance in the RENO Experiment,"Ahn, J.K.",34,2012,2012-04,1204.0626,10.1103/PhysRevLett.108.191802,"Phys.Rev.Lett.,108,191802",2693,2599,article,arxiv:1204.0626,"Autor e journal extraidos da referencia bruta (ja confere com DOI/journal retornados pelo INSPIRE); segunda consulta INSPIRE para authors/publication_info nao foi possivel (limite de sessao do WebFetch atingido apos a 1a rodada), mas identificacao ja validada por 2 ancoras (ano + titulo/DOI) na 1a consulta."
U0147,OK,1110717,Phase space factors for double-beta decay,"Kotila, J.",2,2012,2012-03,1209.5722,10.1103/PhysRevC.85.034316,"Phys.Rev.C,85,034316",696,655,article,arxiv:1209.5722,"Autor e journal extraidos da referencia bruta (ja confere com DOI/journal retornados pelo INSPIRE); segunda consulta INSPIRE para authors/publication_info nao foi possivel (limite de sessao do WebFetch atingido apos a 1a rodada), mas identificacao ja validada por 2 ancoras (ano + titulo/DOI) na 1a consulta."
U0148,OK,940509,Updated BBN bounds on the cosmological lepton asymmetry for non-zero theta13,"Mangano, G.",5,2011,2011-10,1110.4335,10.1016/j.physletb.2012.01.015,"Phys.Lett.B,708,1",118,104,article,arxiv:1110.4335,"Autor e journal extraidos da referencia bruta (ja confere com DOI/journal retornados pelo INSPIRE); segunda consulta INSPIRE para authors/publication_info nao foi possivel (limite de sessao do WebFetch atingido apos a 1a rodada), mas identificacao ja validada por 2 ancoras (ano + titulo/DOI) na 1a consulta."
U0149,OK,921560,Neutrinoless Double Beta Decay and Heavy Sterile Neutrinos,"Mitra, M.",3,2011,2011-08,1108.0004,10.1016/j.nuclphysb.2011.10.035,"Nucl.Phys.B,856,26",239,212,article,arxiv:1108.0004,"Autor e journal extraidos da referencia bruta (ja confere com DOI/journal retornados pelo INSPIRE); segunda consulta INSPIRE para authors/publication_info nao foi possivel (limite de sessao do WebFetch atingido apos a 1a rodada), mas identificacao ja validada por 2 ancoras (ano + titulo/DOI) na 1a consulta."
U0150,OK,1094466,Position and energy-resolved particle detection using phonon-mediated microwave kinetic inductance detectors,"Moore, D.C.",7,2012,2012-03,1203.4549,10.1063/1.4726279,"Appl.Phys.Lett.,100,232601",64,55,article,arxiv:1203.4549,"Autor e journal extraidos da referencia bruta (ja confere com DOI/journal retornados pelo INSPIRE); segunda consulta INSPIRE para authors/publication_info nao foi possivel (limite de sessao do WebFetch atingido apos a 1a rodada), mas identificacao ja validada por 2 ancoras (ano + titulo/DOI) na 1a consulta."
