uid,status,inspire_id,titulo_inspire,primeiro_autor,n_autores,ano_inspire,data_inspire,arxiv,doi,journal,citacoes,citacoes_sem_auto,tipo_doc,query_usada,obs
U0621,OK,264300,Nuclear Structure Effects in Double beta Decay,"Engel, J.",3,1988,1988,,,"Phys. Rev. C 37, 731-746 (1988)",332,294,article,"j+Phys.Rev.C,37,731",
U0622,OK,23245,Experimental Study of the Atmospheric Neutrino Flux,"Hirata, K.S.",,1988,1988,,,"Phys. Lett. B 205, 416 (1988)",1040,942,article,"j+Phys.Lett.B,205,416","Titulo do registro INSPIRE nao consta no bruto (so citacao bibliografica de Kamiokande-II), mas coordenada de journal bate exatamente e o tema (fluxo de neutrinos atmosfericos) e coerente."
U0623,OK,250258,Derivation of the Formalism for Neutrino Matter Oscillations From the Neutrino Relativistic Field Equations,"Mannheim, P.D.",1,1987,1987-09,,,"Phys. Rev. D37, 1935 (1988)",90,90,article,"j+Phys.Rev.D,37,1935","earliest_date 1987-09 vs ano citado 1988; diferenca de 1 ano, dentro da tolerancia."
U0624,OK,261276,Sum Rules for Two Particle Operators and Double Beta Decay,"Vogel, P.",3,1988,1988-03,,,"Phys. Lett. B 212, 259-263 (1988)",47,40,article,"j+Phys.Lett.B,212,259",
U0625,NAO_ENCONTRADO,,,"Warburton, E.K.",4,,,,,"Ann. Phys. 187, 471 (1988)",,,article,"j+Ann.Phys.,187,471 ; j+Ann.Phys.(N.Y.),187,471 ; t+first-forbidden+beta+decay+near ; a+warburton+and+date+1988","TOTAL=0 em ambas as buscas por journal (abreviatura padrao e variante N.Y.) e por titulo (exato e parcial); busca por autor+date devolveu 5 registros de Warburton em 1988 sem relacao com o titulo esperado (band structure de Ir-184, shell model de N-19/Al-34/K-43, decaimento de He-8). Artigo nao localizado; 4 tentativas esgotadas."
U0626,OK,280774,Anti-neutrino Spectra From 241Pu and 239Pu Thermal Neutron Fission Products,"Hahn, A.A.",,1989,1989-09-10,,,"Phys. Lett. B218, 365 (1989)",466,446,article,"j+Phys.Lett.B,218,365",
U0627,NAO_ENCONTRADO,,,"Auerbach, N.",3,,,,,"Annals Phys. 192, 77 (1989)",,,article,"j+Annals+Phys.,192,77 ; j+Ann.Phys.,192,77 ; a+auerbach+and+date+1989","TOTAL=0 nas duas variantes de abreviatura de journal; busca por autor+date devolveu 8 registros de Auerbach em 1989 (ressonancias gigantes, decaimentos de kaon) sem indicacao de bater com a referencia (titulo nao informado no bruto). Nao localizado com certeza; 3 tentativas esgotadas."
U0628,OK,284802,The Physics of Massive Neutrinos,"Kayser, B.",3,1987,1987-12,,,"World Sci. Lect. Notes Phys. 25, 1 (1989)",45,44,book,"j+World+Sci.Lect.Notes+Phys.,25,1","earliest_date 1987-12 vs ano citado 1989; diferenca de 2 anos, dentro da tolerancia (+-2) para referencia pre-1991."
U0629,OK,286838,NEUTRINO ASTROPHYSICS,"Bahcall, J.N.",1,1989,1989,,,,136,134,book,t+neutrino+astrophysics+and+a+bahcall,"Livro; ISBN 9780521379755 citado no bruto nao e retornado pelos 4 campos pedidos (sem campo de ISBN na consulta), mas titulo e autor batem exatamente e ano bate."
U0630,OK,277623,Observation of B-8 Solar Neutrinos in the Kamiokande-II Detector,"Hirata, K.S.",,1989,1989-04,,,"Phys. Rev. Lett. 63, 16 (1989)",755,696,article,"j+Phys.Rev.Lett.,63,16",
U0631,OK,260484,Experimental study of atmospheric neutrino flux in the NUSEX experiment,"Aglietta, M.",,1988,1988-11,,,"Europhys. Lett. 8, 611 (1989)",492,483,article,"j+Europhys.Lett.,8,611",earliest_date 1988-11 vs ano citado 1989; diferenca de 1 ano dentro da tolerancia.
U0632,OK,277132,Neutrino Oscillations in Matter,"Kuo, T.K.",2,1989,1989-03,,,"Rev. Mod. Phys. 61, 937 (1989)",707,668,article,"j+Rev.Mod.Phys.,61,937",
U0633,OK,312857,Further reduction of radioactive backgrounds in ultrasensitive germanium spectrometers,"Brodzinski, R.L.",4,1990,1990-07,,,"Nucl. Instrum. Meth. A 292, 337-342 (1990)",36,25,article,"j+Nucl.Instrum.Meth.A,292,337",
U0634,OK,305784,A Full 0 h-bar omega description of the 2 neutrino beta beta decay of Ca-48,"Caurier, E.",3,1990,1990,,,"Phys. Lett. B 252, 13-17 (1990)",127,111,article,"j+Phys.Lett.B,252,13","Titulo do INSPIRE usa notacao ASCII (0 h-bar omega, 2 neutrino beta beta) para o mesmo titulo do bruto (0~omega, 2*nu*beta*beta)."
U0635,OK,284411,A Precise Determination of the Number of Families With Light Neutrinos and of the Z Boson Partial Widths,"Decamp, D.",,1989,1989-12,,,"Phys.Lett.B 235, 399-411 (1990)",293,257,article,"j+Phys.Lett.B,235,399","earliest_date 1989-12 vs ano citado 1990; diferenca de 1 ano dentro da tolerancia. Colaboracao ALEPH -> et al., n_autores em branco."
