uid,status,inspire_id,titulo_inspire,primeiro_autor,n_autores,ano_inspire,data_inspire,arxiv,doi,journal,citacoes,citacoes_sem_auto,tipo_doc,query_usada,obs
U0841,OK,1621590,Double Gamow-Teller Transitions and its Relation to Neutrinoless ββ Decay,"Shimizu, N",3,2017,2017-09-04,,,"Phys. Rev. Lett. 120, 142502",103,86,article,"j+Phys.Rev.Lett.,120,142502","bruto: Shimizu, Menendez, Yako (2018); ano earliest_date=2017 (preprint) vs 2018 publicacao, dentro da tolerancia"
U0842,OK,1674915,Quenching of nuclear matrix elements for 0νββ decay by chiral two-body currents,"Wang, L-J",3,2018,2018-05-25,,,"Phys. Rev. C 98 (3), 031301",62,36,article,"j+Phys.Rev.C,98,031301","bruto: Wang, Engel, Yao (2018)"
U0843,OK,1684328,Generator-coordinate reference states for spectra and 0νββ decay in the in-medium similarity renormalization group,"Yao, J M",5,2018,2018-07-29,,,"Phys. Rev. C 98, 054311",77,54,article,"j+Phys.Rev.C,98,054311","bruto: Yao, Engel, Wang, Jiao, Hergert (2018)"
U0844,OK,1697282,Uncertainty quantification in the nuclear shell model,"Yoshida, S",4,2018,2018-10-07,,,"Phys. Rev. C 98, 061301",24,21,article,"j+Phys.Rev.C,98,061301","bruto: Yoshida, Shimizu, Togashi, Otsuka (2018a)"
U0845,OK,1674380,Systematic shell-model study of β-decay properties and Gamow-Teller strength distributions in A≈40 neutron-rich nuclei,"Yoshida, S",4,2018,2018-05-19,,,"Phys. Rev. C 97, 054321",59,49,article,"j+Phys.Rev.C,97,054321","bruto: Yoshida, Utsuno, Shimizu, Otsuka (2018b)"
U0846,OK,1663002,Structure of nuclei with masses 76 and 82 and nuclear matrix elements of neutrinoless double beta decay,"Yoshinaga, N",5,2018,2018-02-01,,,"Prog. Theor. Exp. Phys. 2018, 023D02",9,7,article,"j+PTEP,2018,023D02","bruto: Yoshinaga, Yanase, Higashiyama, Teruya, Taguchi (2018)"
U0847,OK,1731038,Observation of two-neutrino double electron capture in 124Xe with XENON1T,"Aprile, E",,2019,2019-04-24,,,"Nature 568, 532-535",181,128,article,"j+Nature,568,532","bruto: Aprile et al. (XENON) (2019), colaboracao, n_autores em branco"
U0848,OK,1725721,Detailed studies of 100Mo two-neutrino double beta decay in NEMO-3,"Arnold, R",,2019,2019-03-19,,,"Eur. Phys. J. C 79, 440",82,54,article,"j+Eur.Phys.J.C,79,440","bruto: Arnold et al. (NEMO-3) (2019), colaboracao, n_autores em branco"
U0849,OK,1753091,Evidence for Rigid Triaxial Deformation in 76Ge from a Model-Independent Analysis,"Ayangeakaa, A D",,2019,2019-09-07,1909.03270,,"Phys. Rev. Lett. 123, 102501",61,52,article,arxiv:1909.03270,"bruto: Ayangeakaa et al. (2019), arxiv citado no bruto, n_autores em branco"
U0850,OK,1743930,Neutrinoless Double Beta Decay Experiments With TeO2 Low-Temperature Detectors,"Brofferio, Chiara",3,2019,2019-05-17,,,"Front. in Phys. 7, 86",18,13,article,t+Neutrinoless+Double+Beta+Decay+Experiments+Low-Temperature,"bruto: Brofferio, Cremonesi, Dell'Oro (2019); busca por journal (varias grafias de Front.Phys.) falhou, resolvido por titulo"
U0851,OK,1746510,Renormalized approach to neutrinoless double-β decay,"Cirigliano, V",9,2019,2019-07-25,,,"Phys. Rev. C 100, 055504",139,92,article,"j+Phys.Rev.C,100,055504","bruto: Cirigliano, Dekens, De Vries, Graesser, Mereghetti, Pastore, Piarulli, Van Kolck, Wiringa (2019); titulo INSPIRE sem o artigo 'A' inicial"
U0852,OK,1708619,Renormalization of the Gamow-Teller operator within the realistic shell model,"Coraggio, L",6,2018,2018-12-11,,,"Phys. Rev. C 100, 014316",61,35,article,"j+Phys.Rev.C,100,014316","bruto: Coraggio, De Angelis, Fukui, Gargano, Itaco, Nowacki (2019); earliest_date=2018-12 (preprint), dentro da tolerancia"
