uid,status,inspire_id,titulo_inspire,primeiro_autor,n_autores,ano_inspire,data_inspire,arxiv,doi,journal,citacoes,citacoes_sem_auto,tipo_doc,query_usada,obs
U0801,OK,1469458,An electroweak basis for neutrinoless double β decay,Graesser,1,2016,2016-06-14,,,"JHEP 08, 099",73,66,article,"j+JHEP,1708,099","earliest_date=preprint (2016), 1 ano antes da publicacao formal 2017, normal para preprint arXiv."
U0802,OK,1515620,Spectrum-shape method and the next-to-leading-order terms of the β-decay shape factor,Haaranen,3,2017,2017-02-28,,,"Phys. Rev. C 95, 024327",78,38,article,"j+Phys.Rev.C,95,024327",Titulo bruto sem hifen (Spectrumshape); confirmado pelo INSPIRE como Spectrum-shape.
U0803,OK,1609812,Neutrinoless double-beta decay matrix elements in large shell-model spaces with the generator-coordinate method,Jiao,3,2017,2017-07-12,,,"Phys. Rev. C 96, 054310",64,46,article,"j+Phys.Rev.C,96,054310",Titulo e ano batem exatamente com o bruto.
U0804,OK,383846,Few nucleon forces from chiral Lagrangians,van Kolck,1,1994,1994-06-01,,,"Phys. Rev. C 49, 2932-2941",637,595,article,"j+Phys.Rev.C,49,2932",Titulo e ano batem exatamente com o bruto.
U0805,OK,1592224,Electron spectra in forbidden β decays and the quenching of the weak axial-vector coupling constant gA,Kostensalo,3,2017,2017-04-12,,,"Phys. Rev. C 95, 044313",56,32,article,"j+Phys.Rev.C,95,044313",Titulo e ano batem exatamente com o bruto.
U0806,OK,1618081,gA -driven shapes of electron spectra of forbidden β decays in the nuclear shell model,Kostensalo,2,2017,2017-08-21,,,"Phys. Rev. C 96, 024317",40,23,article,"j+Phys.Rev.C,96,024317",Titulo e ano batem exatamente com o bruto.
U0807,OK,1491388,Nuclear axial current operators to fourth order in chiral effective field theory,Krebs,3,2016,2016-10-11,,,"Annals Phys. 378, 317-395",109,82,article,"j+Ann.Phys.,378,317","earliest_date=preprint (2016), 1 ano antes da publicacao formal 2017, normal para preprint arXiv."
U0808,OK,1634015,Screening of materials with high purity germanium detectors at the Laboratori Nazionali del Gran Sasso,Laubenstein,1,2017,2017-10-30,,,"International Journal of Modern Physics A 32, 1743002",56,31,article,"j+Int.J.Mod.Phys.A,32,1743002","Titulo bruto todo em minusculas; INSPIRE confirma capitalizacao correta, conteudo identico."
U0809,OK,1634014,ICP-MS measurement of natural radioactivity at LNGS,Nisi,4,2017,2017-10-23,,,"Int. J. Mod. Phys. A 32 (30), 1743003",24,17,article,"j+Int.J.Mod.Phys.A,32,1743003","Titulo bruto com espaco extra (ICP- MS); INSPIRE confirma ICP-MS, mesmo artigo."
U0810,OK,1608244,Shell model spectroscopy far from stability,Poves,1,2017,2017-06-29,,,"J. Phys. G 44, 084002",13,11,article,"j+J.Phys.G,44,084002",Titulo e ano batem exatamente com o bruto.
U0811,OK,1513596,Background constrains of the SuperNEMO experiment for neutrinoless double beta-decay searches,Povinec,1,2017,2017-02-11,,,"Nucl. Instrum. Meth. A 845, 398-403",20,12,article,"j+Nucl.Instrum.Meth.A,845,398",Colaboracao SuperNEMO citada no bruto entre parenteses apos o autor; titulo e ano batem.
