uid,status,inspire_id,titulo_inspire,primeiro_autor,n_autores,ano_inspire,data_inspire,arxiv,doi,journal,citacoes,citacoes_sem_auto,tipo_doc,query_usada,obs
U0501,OK,216309,Invariance in physical theory,Wigner,1,1949,1949,,,"Proc.Am.Phil.Soc. 93 (1949) No.7, 521-526",2,2,article,q=t+invariance+in+physical+theory (confirmado via recid:216309),"Busca por titulo achou 4 hits (TOTAL=4); recid correto (216309) confirmado por publication_info=Proc.Am.Phil.Soc. 93 (1949) No.7, batendo com o bruto. earliest_date exibido no resultado de busca por titulo vinha errado (1985, provavelmente data de reimpressao/imprint); recid direto corrigiu para 1949."
U0502,OK,42674,Double beta-decay of Te-130,Inghram,2,1950,1950,,,"Phys.Rev. 78, 822",153,153,article,"q=j+Phys.Rev.,78,822","Inghram, Reynolds (1950). Journal e titulo batem exatamente com o bruto."
U0503,OK,42675,Half-life of double beta-decay,Levine,3,1950,1950,,,"Phys.Rev. 77, 296",15,15,article,"q=j+Phys.Rev.,77,296","Levine, Ghiorso, Seaborg (1950). Journal e titulo batem."
U0504,NAO_ENCONTRADO,,,Lawson,1,,,,,"Phys.Rev. 81, 299 (bruto)",,,article,"q=j+Phys.Rev.,81,299 (TOTAL=0); q=t+lower+limit+half-life+Sn-124 (TOTAL=0); q=a+lawson+and+date+1951 (TOTAL=0)","Lawson (1951), 'A lower limit on the half-life of Sn-124', Phys.Rev. 81, 299. Nao indexado no INSPIRE por nenhuma das 3 vias tentadas."
U0505,NAO_ENCONTRADO,,,Davis,1,,,,,"Phys.Rev. 86, 976-985 (bruto)",,,article,"q=j+Phys.Rev.,86,976 (TOTAL=0); q=t+nuclear+recoil+neutrino+emission+beryllium (TOTAL=0); q=a+davis+and+date+1952 (TOTAL=1, mas registro sobre raios cosmicos, descartado)","Davis (1952), 'Nuclear recoil following neutrino emission from beryllium 7', Phys.Rev. 86, 976-985. Busca por autor+data devolveu artigo nao relacionado (raios cosmicos); descartado por nao bater titulo/journal."
U0506,OK,42672,A re-investigation of the double beta-decay from Sn-124,Fireman,2,1952,1952,,,"Phys.Rev. 86, 451",22,22,article,"q=j+Phys.Rev.,86,451","Fireman, Schwarzer (1952). Journal e titulo batem."
U0507,NAO_ENCONTRADO,,,Fremlin,2,,,,,"Proc.Phys.Soc.A 65, 911-915 (bruto)",,,article,"q=j+Proc.Phys.Soc.,65,911 (TOTAL=0); q=t+experimental+investigation+stability+nuclei+double+beta (TOTAL=0); q=a+fremlin+and+date+1952 (TOTAL=0)","Fremlin, Walters (1952), Proc.Phys.Soc.A 65 (11), 911-915. Nao indexado no INSPIRE por nenhuma das 3 vias tentadas."
U0508,OK,47330,An Investigation of the Double Beta-Decay of Sn-12450,Kalkstein,2,1952,1952-01-15,,,"Phys.Rev. 85, 368",17,17,article,"q=j+Phys.Rev.,85,368","Kalkstein, Libby (1952). Journal e titulo (com notacao de isotopo Sn-124^50) batem com o bruto."
U0509,NAO_ENCONTRADO,,,Pearce,2,,,,,"Phys.Rev. 86, 1049-1050 (bruto)",,,article,"q=j+Phys.Rev.,86,1049 (TOTAL=0); q=a+pearce+and+date+1952 (TOTAL=0); q=t+double+beta-decay+sn124 (TOTAL=0)","Pearce, Darby (1952), Phys.Rev. 86, 1049-1050. Nao indexado no INSPIRE por nenhuma das 3 vias tentadas."
U0510,NAO_ENCONTRADO,,,Bohr,2,,,,,"Kong.Dan.Vid.Selsk.Mat.Fys.Medd. 27, 16 (bruto)",,,article,"q=j+Kong.Dan.Vid.Selsk.Mat.Fys.Medd.,27,16 (TOTAL=0); q=t+collective+individual-particle+aspects+nuclear+structure (TOTAL=0); q=a+mottelson+and+date+1953 (TOTAL=0)","Bohr, A. and Mottelson, B.R. (1953), K.Dan.Vidensk.Selsk.Mat.Fys.Medd 27, 16. Nao indexado no INSPIRE por nenhuma das 3 vias tentadas (abreviatura de journal, titulo do artigo desconhecido no bruto, e autor+data)."
U0511,NAO_ENCONTRADO,,,Marx,1,,,,,"Acta Phys.Acad.Sci.Hung. 3, 55-58 (bruto)",,,article,"q=j+Acta.Phys.Hung.,3,55 (TOTAL=0); q=a+g.marx.1+and+date+1953 (TOTAL=0); q=t+wechselwirkung+elementarteilchen+erhaltungssatze (TOTAL=0, titulo em alemao)","Marx, G. (1953), 'Die Wechselwirkung der Elementar-Teilchen und die Erhaltungssaetze', Acta Physica Academiae Scientiarum Hungaricae 3, 55-58. Nao indexado no INSPIRE por nenhuma das 3 vias tentadas."
U0512,NAO_ENCONTRADO,,,McCarthy,1,,,,,"Phys.Rev. 90, 853-857 (bruto)",,,article,"q=j+Phys.Rev.,90,853 (TOTAL=0); q=a+mccarthy+and+date+1953 (TOTAL=0); q=t+search+double+beta-decay+sn124+zr96 (TOTAL=0)","McCarthy, J.A. (1953), 'Search for double beta-decay in Sn124 and Zr96', Phys.Rev. 90, 853-857. Nao indexado no INSPIRE por nenhuma das 3 vias tentadas."
U0513,OK,40475,Detection of the free neutrino,Reines,2,1953,1953-11,,,"Phys.Rev. 92, 830",724,715,article,"q=j+Phys.Rev.,92,830","Reines, Cowan (1953). Journal e titulo batem exatamente com o bruto."
U0514,OK,44638,"Attempt to detect the antineutrinos from a nuclear reactor by the Cl37(anti-nu,e-) A37 reaction",Davis,1,1955,1955-02,,,"Phys.Rev. 97, 766",241,234,article,"q=j+Phys.Rev.,97,766","Davis Jr., R. (1955). Journal e titulo batem exatamente com o bruto."
U0515,OK,845,Behavior of neutral particles under charge conjugation,Gell-Mann,2,1955,1955,,,"Phys.Rev. 97, 1387",636,632,article,"q=j+Phys.Rev.,97,1387","Gell-Mann, Pais (1955). Journal e titulo batem exatamente com o bruto."
U0516,NAO_ENCONTRADO,,,McCarthy,1,,,,,"Phys.Rev. 97, 1234-1236 (bruto)",,,article,"q=j+Phys.Rev.,97,1234 (TOTAL=0); q=t+search+double+beta+decay+ca48 (TOTAL=0); q=a+mccarthy+and+date+1955 (TOTAL=0)","McCarthy, J.A. (1955), 'Search for double beta decay in Ca48', Phys.Rev. 97, 1234-1236. Nao indexado no INSPIRE por nenhuma das 3 vias tentadas."
U0517,OK,39882,Detection of the free neutrino: A Confirmation,Cowan,5,1956,1956-07,,,"Science 124, 103",1734,1725,article,"q=j+Science,124,103","Cowan, Reines, Harrison, Kruse, McGuire (1956). Journal e titulo batem exatamente com o bruto."
U0518,OK,21787,Question of Parity Conservation in Weak Interactions,Lee,2,1956,1956-10,,,"Phys.Rev. 104, 254",2658,2647,article,"q=j+Phys.Rev.,104,254","Lee, Yang (1956), artigo do Premio Nobel. Journal e titulo batem exatamente. Referencia mais citada do bloco B26."
U0519,OK,45908,Reformulation of the Majorana Theory of the Neutrino,Case,1,1957,1957-07-01,,,"Phys.Rev. 107, 307",186,186,article,"q=j+Phys.Rev.,107,307","Case, K.M. (1957). Journal e titulo batem exatamente com o bruto."
U0520,OK,29177,On the conservation laws for weak interactions,Landau,1,1957,1957-01-01,,,"Nucl.Phys. 3, 127",74,74,article,"q=j+Nucl.Phys.,3,127","Landau, L.D. (1957). TOTAL=2: existe registro duplicado 2610443 ('Conservation Laws in Weak Interactions', 109 citacoes, tambem publication_info Nucl.Phys.3(1957)127 + traducao J.Exp.Theor.Phys./Sov.Phys.JETP). Escolhido 29177 por bater exatamente o titulo do bruto ('On the conservation laws for weak interactions')."
