uid,status,inspire_id,titulo_inspire,primeiro_autor,n_autores,ano_inspire,data_inspire,arxiv,doi,journal,citacoes,citacoes_sem_auto,tipo_doc,query_usada,obs
U0121,OK,898045,On the Quantitative Impact of the Schechter-Valle Theorem,M. Duerr,3,2011,2011-05,1105.0901,10.1007/JHEP06(2011)091,"JHEP06,091",158,140,article,arxiv:1105.0901,
U0122,OK,884352,The Reactor Antineutrino Anomaly,G. Mention,7,2011,2011-01,1101.2755,10.1103/PhysRevD.83.073006,"Phys.Rev.D83,073006",1809,1739,article,arxiv:1101.2755,
U0123,OK,890795,Fermion Masses in SO(10) Models,A.S. Joshipura,2,2011,2011-02,1102.5148,10.1103/PhysRevD.83.095002,"Phys.Rev.D83,095002",162,146,article,arxiv:1102.5148,
U0124,OK,912952,The T2K Experiment,K. Abe,523,2011,2011-06,1106.1238,10.1016/j.nima.2011.06.067,"Nucl.Instrum.Meth.A659,106",1300,666,article,arxiv:1106.1238,Colaboracao T2K
U0125,OK,913765,Indication of Electron Neutrino Appearance from an Accelerator-produced Off-axis Muon Neutrino Beam,K. Abe,411,2011,2011-06,1106.2822,10.1103/PhysRevLett.107.041801,"Phys.Rev.Lett.107,041801",1925,1609,article,arxiv:1106.2822,Colaboracao T2K
U0126,OK,912553,On the determination of anti-neutrino spectra from nuclear reactors,P. Huber,1,2011,2011-06,1106.0687,10.1103/PhysRevC.84.024617,"Phys.Rev.C84,024617",1175,1110,article,arxiv:1106.0687,"Erratum publicado em Phys.Rev.C85,029901(2012), nao usado como referencia principal conforme protocolo (secao 3, nota de sintaxe)"
U0127,OK,912926,Neutrino-less Double Beta Decay and Particle Physics,W. Rodejohann,1,2011,2011-06,1106.1334,10.1142/S0218301311020186,"Int.J.Mod.Phys.E20,1833",661,624,article,arxiv:1106.1334,
U0128,OK,912715,Measurement of the 8B Solar Neutrino Flux with the KamLAND Liquid Scintillator Detector,S. Abe,79,2011,2011-06,1106.0861,10.1103/PhysRevC.84.035804,"Phys.Rev.C84,035804",130,100,article,arxiv:1106.0861,Colaboracao KamLAND
U0129,OK,884183,Improved Predictions of Reactor Antineutrino Spectra,T.A. Mueller,12,2011,2011-01,1101.2663,10.1103/PhysRevC.83.054615,"Phys.Rev.C83,054615",1385,1283,article,arxiv:1101.2663,
U0130,OK,877536,Left-Right Symmetry: from LHC to Neutrinoless Double Beta Decay,V. Tello,5,2010,2010-11,1011.3522,10.1103/PhysRevLett.106.151801,"Phys.Rev.Lett.106,151801",306,252,article,arxiv:1011.3522,"earliest_date 2010-11 (preprint) vs ano 2011 na referencia bruta (publicacao); diferenca de 1 ano dentro da tolerancia"
U0131,OK,1082102,"False starts in history of searches for double beta decay, or Discoverless double beta decay",V.I. Tretyak,1,2011,2011-06,1112.4183,10.1063/1.3671051,"AIP Conf.Proc.1417,129",16,16,article,arxiv:1112.4183,
U0132,OK,1495903,A Combined nu_mu to nu_e and nu_mu-bar to nu_e-bar Oscillation Analysis of the MiniBooNE Excesses,A. Aguilar-Arevalo,44,2012,2012-07-19,1207.4809,,,317,276,article,arxiv:1207.4809,"Colaboracao MiniBooNE; DOI nao retornado pelo INSPIRE (Not provided)"
U0133,OK,1087338,NEXT-100 Technical Design Report (TDR): Executive Summary,V. Alvarez,85,2012,2012-02,1202.0721,10.1088/1748-0221/7/06/T06001,"JINST7,T06001",166,72,article,arxiv:1202.0721,Colaboracao NEXT
U0134,OK,1088706,"The EXO-200 detector, part I: Detector design and construction",M. Auger,81,2012,2012-02,1202.2192,10.1088/1748-0221/7/05/P05010,"JINST7,P05010",225,154,article,arxiv:1202.2192,
U0135,OK,1087436,Seesaw Scale in the Minimal Renormalizable SO(10) Grand Unification,S. Bertolini,3,2012,2012-02,1202.0807,10.1103/PhysRevD.85.095014,"Phys.Rev.D85,095014",75,54,article,arxiv:1202.0807,
U0136,OK,1092759,Squeezing out predictions with leptogenesis from SO(10),F. Buccella,5,2012,2012-03,1203.0829,10.1103/PhysRevD.86.035012,"Phys.Rev.D86,035012",58,47,article,arxiv:1203.0829,
U0137,OK,1108146,Neutrinoless double-beta decay in TeV scale Left-Right symmetric models,J. Chakrabortty,4,2012,2012-04,1204.2527,10.1007/JHEP08(2012)008,"JHEP08,008",109,75,article,arxiv:1204.2527,
U0138,OK,1125859,Neutrinoless Double Beta Decay and Physics Beyond the Standard Model,F.F. Deppisch,3,2012,2012-08,1208.0727,10.1088/0954-3899/39/12/124007,"J.Phys.G39,124007",287,234,article,arxiv:1208.0727,
U0139,OK,1092949,Recent Progress in Double Beta Decay,S.R. Elliott,1,2012,2012-03,1203.1070,10.1142/S0217732312300091,"Mod.Phys.Lett.A27,1230009",85,73,article,arxiv:1203.1070,
U0140,OK,1093266,Observation of electron-antineutrino disappearance at Daya Bay,F.P. An,270,2012,2012-03,1203.1669,10.1103/PhysRevLett.108.171803,"Phys.Rev.Lett.108,171803",3224,2773,article,arxiv:1203.1669,Colaboracao Daya Bay
