uid,status,inspire_id,titulo_inspire,primeiro_autor,n_autores,ano_inspire,data_inspire,arxiv,doi,journal,citacoes,citacoes_sem_auto,tipo_doc,query_usada,obs
U0901,NAO_ENCONTRADO,,,,,,,,,,,,,t+bingo+and+a+nones,"apresentacao/talk (Nones, C, 2021, 'Bingo', Presentation at TAUP 2021); busca por titulo+autor devolveu 2 artigos BINGO de anos diferentes (2022,2024) mas nenhum e a proprio talk citado; nao aceito para evitar falso positivo (instrucao do bloco: nao casar com artigo do mesmo autor sobre tema parecido)"
U0902,OK,1860975,"Spectroscopy of states in $^{136}Ba$ using the $^{138}Ba(p,t)$ reaction","Rebeiro, B M",,2021,2021-04-27,,,"Phys. Rev. C 104, 034309",6,2,,"j+Phys.Rev.C,104,034309",
U0903,OK,1844564,Large-$N_c$ analysis of two-nucleon neutrinoless double-$\beta$ decay and charge-independence-breaking contact terms,"Richardson, Thomas R",,2021,2021-02-03,,,"Phys. Rev. C 103, 055501",34,26,,"j+Phys.Rev.C,103,055501",
U0904,OK,1828789,Variational approach with the superposition of the symmetry-restored quasiparticle vacua for nuclear shell-model calculations,"Shimizu, N",,2020,2020-11-05,2011.03157,,"Phys. Rev. C 103, 014312",43,26,,arxiv:2011.03157,"bruto data ano 2021 (publicacao); earliest_date=2020-11-05 e do preprint, dentro da tolerancia de +-1 ano"
U0905,NAO_ENCONTRADO,,,,,,,,,,,,,a+welliver+and+date+2021,"apresentacao/talk (Welliver, B, 2021, Talk at APS-DNP 2021 Conference), sem titulo no bruto; busca autor+data devolveu 12 hits (CUORE/CUPID) mas nenhum identificavel com seguranca como esta talk sem consultar lista de autores; nao aceito para evitar falso positivo"
U0906,NAO_ENCONTRADO,,,,,,,,,,,,,t+xundl,"XUNDL e um banco de dados online do NNDC (ENSDF), nao um artigo cientifico; sem registro no INSPIRE"
U0907,OK,1823722,Ab initio benchmarks of neutrinoless double beta decay in light nuclei with a chiral Hamiltonian,"Yao, J M",,2020,2020-10-16,2010.08609,,"Phys. Rev. C 103, 014315",44,23,,arxiv:2010.08609,"bruto ano 2021 (publicacao); earliest_date=2020-10-16 e do preprint, dentro da tolerancia de +-1 ano"
U0908,NAO_ENCONTRADO,,,,,,,,,,,,,t+CDEX-300v+neutrinoless+double+beta+decay+experiment,"talk/proceedings de Yue, Qian na TAUP 2021 sobre CDEX-300nu; busca por titulo devolveu 0 hits; sem registro proprio no INSPIRE"
U0909,OK,2064224,High-precision measurement of the W boson mass with the CDF II detector,"Aaltonen, T",,2022,2022-04-08,,,"Science 376 (6589), 170-176",818,780,,"j+Science,376,170",bruto: Aaltonen et al. (CDF) (2022)
U0910,DUVIDOSO,2651539,Probing Beyond the Standard Model Physics with Double-beta Decays,M. Bossio,2,2023,2023-04-14,,,,28,,review,a+bossio+and+a+agostini+and+date+2023,"bruto: 'A review of exotic physics searches with double-beta decay, to appear September 2022' (sem journal ainda); busca por titulo=0 hits; busca autor+data devolveu 114 hits sem 2a. ancora clara. Candidato tematico mais proximo: recid 2620983 'Beyond the Standard Model physics searches with double-beta decays' (earliest_date 2023-01-07, 0 citacoes), mas titulo nao bate exatamente e autoria nao pode ser confirmada (campo authors nao consultado por politica do bloco) -> revisao manual recomendada | Identificado pelo Opus: recid 2651539, Bossio & Agostini, 2023-04-14, 28 citacoes. O bruto cita ""A review of exotic physics searches with double-beta decay (2022), to appear"" — autores e tema batem e o ano esta na tolerancia, mas o titulo bate apenas por equivalencia semantica, nao literalmente. Existe ainda o recid 2620983 (2022, mesmo tema, 0 citacoes, sem publication_info), possivel versao de proceedings. Mantido DUVIDOSO: escolha entre os dois registros exige conferir o PDF da review."
U0911,OK,2043462,Shell-model calculation of $^{100}$Mo double-$\beta$ decay,"Coraggio, L",,2022,2022-03-02,,,"Phys. Rev. C 105, 034312",55,43,,"j+Phys.Rev.C,105,034312",
U0912,OK,1974016,Extraction of low-energy constants of single- and double-β decays from lattice QCD: A sensitivity analysis,"Davoudi, Zohreh",,2021,2021-11-22,,,"Phys. Rev. D 105, 094502",34,29,,"j+Phys.Rev.D,105,094502","bruto ano 2022 (publicacao); earliest_date=2021-11-22 e do preprint, dentro da tolerancia"
U0913,OK,2039237,Nuclear structure of Te130 from inelastic neutron scattering and shell model analysis,"Hicks, S F",,2022,2022-02-28,,,"Phys. Rev. C 105, 024329",10,7,,"j+Phys.Rev.C,105,024329",
U0914,OK,2022389,Global calculation of two-neutrino double-β decay within the finite amplitude method in nuclear density functional theory,"Hinohara, Nobuo",,2022,2022-01-30,,,"Phys. Rev. C 105, 044314",24,17,,"j+Phys.Rev.C,105,044314",
U0915,OK,1997921,Two-body weak currents in heavy nuclei,"Ney, E M",,2021,2021-12-29,,,"Phys. Rev. C 105, 034349",12,9,,"j+Phys.Rev.C,105,034349","bruto ano 2022 (publicacao); earliest_date=2021-12-29 e do preprint, dentro da tolerancia"
U0916,OK,2057925,Two-neutrino double-β decay in the mapped interacting boson model,"Nomura, Kosuke",,2022,2022-03-24,,,"Phys. Rev. C 105, 044301",22,14,,"j+Phys.Rev.C,105,044301",
U0917,OK,1980658,Beyond-mean-field approaches for nuclear neutrinoless double beta decay in the standard mechanism,"Yao, J M",,2021,2021-11-30,,,"Prog. Part. Nucl. Phys. 126, 103965",67,41,,"j+Prog.Part.Nucl.Phys.,126,103965","bruto ano 2022 (publicacao); earliest_date=2021-11-30 e do preprint, dentro da tolerancia"
