uid,status,inspire_id,titulo_inspire,primeiro_autor,n_autores,ano_inspire,data_inspire,arxiv,doi,journal,citacoes,citacoes_sem_auto,tipo_doc,query_usada,obs
U0081,OK,722442,Determining neutrino mass hierarchy by precision measurements in electron and muon neutrino disappearance experiments,"Minakata, H.",4,2006,2006-07,hep-ph/0607284,10.1103/PhysRevD.74.053008,"Phys.Rev.D,74,053008",62,47,article,arxiv:hep-ph/0607284,
U0082,OK,719389,Measurement of Neutrino Oscillation by the K2K Experiment,"Ahn, M.H.",220,2006,2006-06,hep-ex/0606032,10.1103/PhysRevD.74.072003,"Phys.Rev.D,74,072003",1387,1166,article,arxiv:hep-ex/0606032,
U0083,OK,699572,Muon-induced background study for underground laboratories,"Mei, Dongming",2,2005,2005-12,astro-ph/0512125,10.1103/PhysRevD.73.053004,"Phys.Rev.D,73,053004",443,418,article,arxiv:astro-ph/0512125,
U0084,OK,665634,Effect of the smaller mass-squared difference for the long base-line neutrino experiments,"Okamura, Naotoshi",1,2004,2004-11,hep-ph/0411388,10.1143/PTP.114.1045,"Prog.Theor.Phys. 114, 1045-1056 (2006)",9,9,article,arxiv:hep-ph/0411388,"Ancora de autor confirmada com certeza (Okamura, Naotoshi = N. Okamura da referencia bruta, autor unico, author_count=1), mas earliest_date (2004-11) precede em 2 anos o ano de publicacao citado na referencia (2006) -- fora da tolerancia formal de +-1 ano para pos-1991 (defasagem normal de preprint->publicacao em Prog.Theor.Phys.). Registro muito provavelmente correto; marcado DUVIDOSO apenas pela ancora de data nao bater dentro da tolerancia. | confirmado pelo Opus: publication_info do INSPIRE traz Prog.Theor.Phys. 114, 1045 (2006), igual a coordenada citada; earliest_date 2004-11 e a data do preprint"
U0085,OK,720707,Unitarity of the Leptonic Mixing Matrix,"Antusch, S.",5,2006,2006-07,hep-ph/0607020,10.1088/1126-6708/2006/10/084,"JHEP,0610,084",530,457,article,arxiv:hep-ph/0607020,
U0086,OK,698684,Determining the neutrino mass hierarchy with atmospheric neutrinos,"Petcov, S.T.",2,2005,2005-11,hep-ph/0511277,10.1016/j.nuclphysb.2006.01.020,"Nucl.Phys.B,740,1",108,79,article,arxiv:hep-ph/0511277,
U0087,OK,734382,Pinning down the mechanism of neutrinoless double beta decay with measurements in different nuclei,"Deppisch, F.",2,2006,2006-12,hep-ph/0612165,10.1103/PhysRevLett.98.232501,"Phys.Rev.Lett.,98,232501",91,76,article,arxiv:hep-ph/0612165,
U0088,OK,735428,1-3 leptonic mixing and the neutrino oscillograms of the Earth,"Akhmedov, Evgeny K.",3,2006,2006-12,hep-ph/0612285,10.1088/1126-6708/2007/05/077,"JHEP,0705,077",98,83,article,arxiv:hep-ph/0612285,
U0089,OK,742294,Multiple-Isotope Comparison for Determining 0 nu beta beta Mechanisms,"Gehman, V.M.",2,2007,2007-01,hep-ph/0701099,10.1088/0954-3899/34/4/006,"J.Phys.G,34,667",64,59,article,arxiv:hep-ph/0701099,
U0090,OK,725046,Accelerator-based neutrino beams,"Kopp, Sacha E.",1,2006,2006-08,physics/0609129,10.1016/j.physrep.2006.11.004,"Phys.Rept.,439,101",146,142,article,arxiv:physics/0609129,
U0091,OK,757787,"Double Beta Decay, Majorana Neutrinos, and Neutrino Mass","Avignone, Frank T., III",3,2007,2007-08,,10.1103/RevModPhys.80.481,"Rev.Mod.Phys.,80,481",1104,1011,article,t+Double+beta+decay+Majorana+neutrinos+and+neutrino+mass+and+a+avignone,
U0092,OK,758475,First real time detection of Be-7 solar neutrinos by Borexino,"Arpesella, C.",77,2007,2007-08,0708.2251,10.1016/j.physletb.2007.09.054,"Phys.Lett.B,658,101",364,259,article,arxiv:0708.2251,
U0093,OK,802652,Solar neutrinos and the solar composition problem,"Pena-Garay, Carlos",2,2008,2008-11,0811.2424,,,128,116,article,arxiv:0811.2424,
U0094,OK,786324,The Magnetized steel and scintillator calorimeters of the MINOS experiment,"Michael, D.G.",260,2008,2008-05,0805.3170,10.1016/j.nima.2008.08.003,"Nucl.Instrum.Meth.A,596,190",463,244,article,arxiv:0805.3170,
U0095,OK,783101,Neutrino oscillograms of the Earth: Effects of 1-2 mixing and CP-violation,"Akhmedov, Evgeny Kh.",3,2008,2008-04,0804.1466,10.1088/1126-6708/2008/06/072,"JHEP,0806,072",90,79,article,arxiv:0804.1466,
U0096,OK,764506,Pion dominance in RPV SUSY induced neutrinoless double beta decay,"Faessler, Amand",4,2007,2007-10,0710.3199,10.1103/PhysRevD.77.113012,"Phys.Rev.D,77,113012",51,38,article,arxiv:0710.3199,
U0097,OK,762355,Systematic study of trace radioactive impurities in candidate construction materials for EXO-200,"Leonard, D.S.",57,2007,2007-09,0709.4524,10.1016/j.nima.2008.03.001,"Nucl.Instrum.Meth.A,591,490",170,124,article,arxiv:0709.4524,
U0098,OK,768660,Limits on nu(e) and anti-nu(e) disappearance from Gallium and reactor experiments,"Acero, Mario A.",3,2007,2007-11,0711.4222,10.1103/PhysRevD.78.073009,"Phys.Rev.D,78,073009",232,183,article,arxiv:0711.4222,
U0099,OK,748589,Phenomenology with Massive Neutrinos,"Gonzalez-Garcia, M.C.",2,2007,2007-04,0704.1800,10.1016/j.physrep.2007.12.004,"Phys.Rept.,460,1",1028,976,article,arxiv:0704.1800,
U0100,OK,771174,Q value of the Mo-100 Double-Beta Decay,"Rahaman, S.",11,2007,2007-12,0712.3337,10.1016/j.physletb.2008.02.047,"Phys.Lett.B,662,111",138,120,article,arxiv:0712.3337,
